id,full_text,topic_id,topic_id_grouped,label
c_b11d8c57d5c0,"in this video, we will look at what dilutions are in chemistry, how to calculate them using a very easy equation and even extending to multiple dilutions which are called serial dilutions.   dilution is the process of adding water (or another solvent) to a solution to decrease the concentration. so to dilute a solution means to add more solvent to a set amount of solute, therefore increasing the total amount of solution and decreasing the concentration.   there is a very easy equation to help us calculate dilutions: m1v1 = m2v2.   we will using this equation and work through some examples together in this video.  ",t_a64e6274e25d,other,0
c_200d265c00e3,"figuring out the acceleration of ice down a plane made of ice  let's say that i have a ramp made of ice. looks like maybe a wedge or some type of an inclined plane made of ice. and we'll make everything of ice in this video so that we have negligible friction. so this right here is my ramp. it's made of ice. and this angle right over here, let's just go with 30 degrees. and let's say on this ramp made of ice, i have another block of ice. so this is a block of ice. it is a block of ice, it's shiny like ice is shiny. and it has a mass of 10 kilograms. and what i want to do is think about what's going to happen to this block of ice. so first of all, what are the forces that we know are acting on it? well if we're assuming we're on earth, and we will, and we're near the surface, then there is the force of gravity. there's the force of gravity acting on this block of ice. and the force of gravity is going to be equal to-- it's going to be in the downward direction, and its magnitude is going to be the mass of the block of ice times the gravitational field times 9.8 meters per second squared. so it's going to be 98 newtons downward. so this is 98 newtons downward. i just took 10 kilograms. let me write it out. so the force due to gravity is going to be equal to 10 kilograms times 9.8 meters per second squared downward. this 9.8 meters per second squared downward, that is the field vector for the gravitational field of the surface of the earth, i guess is one way to think about it. sometimes you'll see the negative 9.8 meters per second squared. and then that negative is giving you the direction implicitly because the convention is normally that positive is upward and negative is downward. we'll just go with this right over here. so the magnitude of this vector is 10 times 9.8, which is 98 kilogram meters per second squared, which is the same thing as newtons. so the magnitude here is 98 newtons and it is pointing downwards. now what we want to do is break this vector up into the components that are perpendicular and parallel to the surface of this ramp. so let's do that. so first, let's think about perpendicular to the surface of the ramp. so perpendicular to the surface of the ramp. so this right over here is a right angle. and we saw in the last video, that whatever angle this over here is, that is also going to be this angle over here. so this angle over here is also going to be a 30-degree angle. and we can use that information to figure out the magnitude of this orange vector right over here. and remember, this orange vector is the component of the force of gravity that is perpendicular to the plane. and then there's going to be some component that is parallel to the plane. i'll draw that in yellow. some component of the force of gravity that is parallel to the plane. and clearly this is a right angle, because this is perpendicular to the plane. and this is parallel to the plane. if it's perpendicular to the plane, it's also perpendicular to this vector right over here. so we can use some basic trigonometry, like we did in the last video, to figure out the magnitude of this orange and this yellow vector right over here. this orange vector's magnitude over the hypotenuse is going to be equal to the cosine of 30. or you could say that the magnitude of this is 98 times the cosine of 30 degrees newtons. 98 times the cosine of 30 degrees newtons. and if you want the whole vector, it's in this direction. and the direction going into the surface of the plane. and, based on the simple trigonometry-- and we go into this in a little bit more detail in the last video-- we know that the component of this vector that is parallel to the surface of this plane is going to be 98 sine of 30 degrees. sine of 30 degrees. sine of 30 degrees. and this comes straight out of this magnitude, which is opposite to the angle over the hypotenuse. opposite over hypotenuse is equal to sine of an angle. and we did all the work over here. i don't want to keep repeating it. but i always want to emphasize that this is coming straight out of basic trigonometry, straight out of basic trigonometry. so once you do that, we know the different components. we can calculate them. cosine of 30 degrees is square root of 3 over 2. sine of 30 degrees is 1/2. that's just one of those things that you learn and you can derive it yourself using 30-60-90 triangles, or actually even equilateral triangles. or you could use a calculator. but it's also one of those things that you memorize when you take trigonometry. so no kind of magical trick i did here. and so if you evaluate this, 98 times the square root of 3 over 2 newtons, tells us that-- let me write it in that same orange color-- the force, the component of gravity that is perpendicular to the plane. and this kind of implicitly gives us this direction, it's perpendicular to the plane. but the force component of gravity that's perpendicular to the plane is equal to 98 times square root of 3 over 2. 98 divided by 2 is 49. so it's equal to 49 times the square root of 3 newtons. and its direction is into the surface of the plane, or downward or, let me just write, into surface of plane. surface of the plane, or the surface of the ramp. and it's in this direction over here. and i have to do this because it's a vector. i have to tell you what direction it's going in. and the component of the force of gravity that is parallel. the component of the force of gravity that is parallel, i drew it down here, but i could shift it up over here. it's the same exact vector. the component of gravity that is parallel to the surface of the plane is 98 times sine of 30. that's 98 times 1/2, which is 49 newtons. and it's going in that direction, or parallel to the surface of the plane. parallel, i always have trouble spelling parallel. parallel to-- don't even know if i spelled it right-- surface of the plane. so what's going to happen here? well, if these were the only forces acting on it. so if we had a net force going into the surface of the plane of 49 square roots of 3 newtons. if this was the only force acting in this dimension or in the dimension that is perpendicular to the surface of the plane, what would happen? well, then the block would just accelerate. at least just due to this force it would accelerate downward. it would accelerate into the surface of the plane. but we know it's not going to accelerate. we know that there's this big wedge of ice here that is keeping it from accelerating in that direction. so at least in this dimension, there will be no acceleration. when i talk about this dimension, i'm talking about in the direction that is perpendicular to the surface of the plane. there will be no acceleration because this wedge is here. so the wedge is exerting a force that completely counteracts the force, the perpendicular component of gravity. and that force. you might guess what it's called. so the wedge is exerting a force, just like that, that's going to be 98 newtons upward. the wedge is going to be exerting a force that is 49 square roots of 3, because this right here is 49 square roots of 3 newtons into. and so this is 49 square roots of 3 newtons out of the surface, out of the surface. and this is the normal force. it is the force perpendicular to the surface that essentially, you could kind of view as the contact force that the, in this case, that the surface is exerting to keep this block of ice from accelerating in that direction. we're not talking about accelerating straight towards the center of the earth. we're talking about accelerating in that direction. we broke up the force into kind of the perpendicular direction and the parallel direction. so you have this counteracting normal force. and that's why you don't have the block plummeting or accelerating into the plane. now what other forces do we have? well, we have the force that's parallel to the surface. and if we assume that there's no friction-- and i can assume that there's no friction in this video because we are assuming that it is ice on ice-- what is going to happen? there's no counteracting force to this 49 newtons. 49 newtons parallel downwards, i should say parallel downwards, to the surface of the plane. so what's going to happen? well, it's going to accelerate in that direction. you have force is equal to mass times acceleration. force is equal to mass times acceleration. or you divide both sides by mass, you get force over mass is equal to acceleration. over here, our force is 49 newtons in that direction, parallel downwards to the surface of the plane. and so if you divide both by mass, if you divide both of these by mass. so that's the same thing as dividing it by 10 kilograms, dividing by 10 kilograms, that will give you acceleration. that will give you our acceleration. so acceleration is 49 newtons divided by 10 kilograms in that direction, in this direction right over there. and 49 divided by 10 is 4.9, and then newtons divided by kilograms is meters per second squared. so then you get your acceleration. your acceleration is going to be 4.9 meters per second squared. and maybe i could say parallel. that's two bars. or maybe i'll write parallel. parallel downwards to the surface. now i'm going to leave you there, and i'll let you think about another thing that i'll address in the next video is, what if you had this just standing still? if it wasn't accelerating downwards, if it wasn't accelerating and sliding down, what would be the force that's keeping it in a kind of a static state? we'll think about that in the next video.",t_44a940281f80,other,0
c_a2c2491b9e09,"educational standards addressededucational standards addressed by the lesson, “pollination: saying it with flowers”  massachusetts biology learning standards 6. ecology central concept: ecology is the interaction among organisms and between organisms and their environment. 6.1 populations 6.2 biodiversity and environmental changes 6.3 food webs and ecosystem relationships 6.4 abiotic cycling, photosynthesis next generation science standards 2-ls2 ecosystems: interactions, energy, and dynamics http://www.nextgenscience.org/print/906",t_f3850f4e7c9e,other,0
